Date,Price
11/10/2020,27.98
11/11/2020,28.15
11/12/2020,27.94
11/13/2020,27.54
11/14/2020,28.19
11/15/2020,27.95
11/16/2020,27.6
11/17/2020,28.02
11/18/2020,28.5
11/19/2020,28.07
11/20/2020,28.05
11/21/2020,28.85
11/22/2020,30.45
11/23/2020,29.98
11/24/2020,30.89
11/25/2020,33.74
11/26/2020,31.39
11/27/2020,28.18
11/28/2020,28.49
11/29/2020,29.11
11/30/2020,30.11
12/1/2020,31.24
12/2/2020,30.13
12/3/2020,30.29
12/4/2020,30.65
12/5/2020,29.16
12/6/2020,29.72
12/7/2020,29.49
12/8/2020,29.35
12/9/2020,27.67
12/10/2020,28.2
12/11/2020,27.7
12/12/2020,27.39
12/13/2020,28.16
12/14/2020,29.05
12/15/2020,29.97
12/16/2020,29.53
12/17/2020,30.45
12/18/2020,30.15
12/19/2020,30.95
12/20/2020,33.29
12/21/2020,34.19
12/22/2020,32.3
12/23/2020,33.51
12/24/2020,31.3
12/25/2020,32.5
12/26/2020,33.16
12/27/2020,33.51
12/28/2020,33.5
12/29/2020,35.92
12/30/2020,38.84
12/31/2020,38.15
1/1/2021,37.39
1/2/2021,37.91
1/3/2021,38.34
1/4/2021,41.07
1/5/2021,39.96
1/6/2021,41.7
1/7/2021,42.18
1/8/2021,43.4
1/9/2021,42.47
1/10/2021,44.01
1/11/2021,42.58
1/12/2021,38.45
1/13/2021,38.11
1/14/2021,40.23
1/15/2021,41.76
1/16/2021,41
1/17/2021,43.23
1/18/2021,45.61
1/19/2021,45.26
1/20/2021,42.91
1/21/2021,42.52
1/22/2021,38.76
1/23/2021,40.77
1/24/2021,40.78
1/25/2021,41.85
1/26/2021,41.44
1/27/2021,41.54
1/28/2021,41.06
1/29/2021,42.39
1/30/2021,42.74
1/31/2021,44.62
2/1/2021,44.25
2/2/2021,51.47
2/3/2021,50.91
2/4/2021,52.32
2/5/2021,55.77
2/6/2021,68.34
2/7/2021,72.63
2/8/2021,68.25
2/9/2021,79.5
2/10/2021,107.74
2/11/2021,129.13
2/12/2021,123.81
2/13/2021,136.48
2/14/2021,133.32
2/15/2021,136.61
2/16/2021,129.38
2/17/2021,129.78
2/18/2021,163.62
2/19/2021,194.53
2/20/2021,338.07
2/21/2021,257.39
2/22/2021,295.6
2/23/2021,268.39
2/24/2021,228.72
2/25/2021,255.48
2/26/2021,235.37
2/27/2021,221.91
2/28/2021,226.73
3/1/2021,209.78
3/2/2021,256.18
3/3/2021,240.93
3/4/2021,241.76
3/5/2021,230.27
3/6/2021,226.94
3/7/2021,226.66
3/8/2021,240.06
3/9/2021,240.62
3/10/2021,294.72
3/11/2021,278.4
3/12/2021,288.47
3/13/2021,264.08
3/14/2021,277.1
3/15/2021,265.97
3/16/2021,253.5
3/17/2021,259.05
3/18/2021,270.92
3/19/2021,262.65
3/20/2021,263.58
3/21/2021,265.27
3/22/2021,265.05
3/23/2021,256.95
3/24/2021,255.28
3/25/2021,255.28
3/26/2021,234.24
3/27/2021,254.7
3/28/2021,269.4
3/29/2021,268.68
3/30/2021,274.96
3/31/2021,309.41
4/1/2021,302.75
4/2/2021,335.83
4/3/2021,336.95
4/4/2021,320.54
4/5/2021,349.05
4/6/2021,367.46
4/7/2021,404.46
4/8/2021,377.01
4/9/2021,418.14
4/10/2021,451.21
4/11/2021,471.84
4/12/2021,522.9
4/13/2021,598.55
4/14/2021,553.12
4/15/2021,541.56
4/16/2021,543
4/17/2021,510.82
4/18/2021,516.79
4/19/2021,480.42
4/20/2021,503.65
4/21/2021,580.46
4/22/2021,550.89
4/23/2021,513.62
4/24/2021,527.78
4/25/2021,499.32
4/26/2021,506.05
4/27/2021,533.58
4/28/2021,568.97
4/29/2021,562.58
4/30/2021,599.88
5/1/2021,624.58
5/2/2021,619.03
5/3/2021,622.59
5/4/2021,675.1
5/5/2021,608.63
5/6/2021,651.83
5/7/2021,635.54
5/8/2021,625.09
5/9/2021,645.06
5/10/2021,661.89
5/11/2021,634.59
5/12/2021,672.64
5/13/2021,602.44
5/14/2021,569.75
5/15/2021,602.91
5/16/2021,563.51
5/17/2021,563.88
5/18/2021,513.88
5/19/2021,510.08
5/20/2021,347.45
5/21/2021,390.41
5/22/2021,322.29
5/23/2021,301.27
5/24/2021,261.26
5/25/2021,343.52
5/26/2021,342.96
5/27/2021,378.07
5/28/2021,367.29
5/29/2021,330.47
5/30/2021,305.85
5/31/2021,325.57
6/1/2021,353.08
6/2/2021,361.67
6/3/2021,402.61
6/4/2021,428.93
6/5/2021,392.28
6/6/2021,388.33
6/7/2021,392.03
6/8/2021,356.26
6/9/2021,353.76
6/10/2021,376.19
6/11/2021,352.39
6/12/2021,346.08
6/13/2021,345.05
6/14/2021,365.25
6/15/2021,371
6/16/2021,369.02
6/17/2021,346.44
6/18/2021,353.21
6/19/2021,337.63
6/20/2021,335.07
6/21/2021,340.23
6/22/2021,274.27
6/23/2021,261.43
6/24/2021,296.13
6/25/2021,308.79
6/26/2021,284.08
6/27/2021,277.4
6/28/2021,289.22
6/29/2021,291.03
6/30/2021,300.92
7/1/2021,303.74
7/2/2021,289.19
7/3/2021,288.17
7/4/2021,298.42
7/5/2021,308.26
7/6/2021,304.02
7/7/2021,320.37
7/8/2021,328.29
7/9/2021,311.53
7/10/2021,318.31
7/11/2021,317.67
7/12/2021,322.22
7/13/2021,317.76
7/14/2021,308.86
7/15/2021,309.43
7/16/2021,314.64
7/17/2021,302.39
7/18/2021,300.92
7/19/2021,304.27
7/20/2021,282.24
7/21/2021,266.4
7/22/2021,293.84
7/23/2021,293.8
7/24/2021,297.64
7/25/2021,301.47
7/26/2021,305.47
7/27/2021,302.96
7/28/2021,313.5
7/29/2021,313.71
7/30/2021,317.12
7/31/2021,322.74
8/1/2021,334.99
8/2/2021,332.37
8/3/2021,331.45
8/4/2021,323.1
8/5/2021,334.98
8/6/2021,338.28
8/7/2021,342.28
8/8/2021,356.22
8/9/2021,341.46
8/10/2021,354.87
8/11/2021,372.73
8/12/2021,391.94
8/13/2021,385.11
8/14/2021,410.21
8/15/2021,409.32
8/16/2021,413.35
8/17/2021,416.91
8/18/2021,401.41
8/19/2021,401.12
8/20/2021,430.26
8/21/2021,453.53
8/22/2021,450.15
8/23/2021,448.55
8/24/2021,499.65
8/25/2021,472.57
8/26/2021,503.06
8/27/2021,483.59
8/28/2021,494.49
8/29/2021,486.11
8/30/2021,481.11
8/31/2021,461.07
9/1/2021,466.33
9/2/2021,490.19
9/3/2021,484.92
9/4/2021,487.5
9/5/2021,499.23
9/6/2021,502.65
9/7/2021,497.36
9/8/2021,418.72
9/9/2021,414.02
9/10/2021,421.9
9/11/2021,401.63
9/12/2021,404.15
9/13/2021,417.78
9/14/2021,400.89
9/15/2021,414.29
9/16/2021,429.93
9/17/2021,424.93
9/18/2021,405.92
9/19/2021,411.49
9/20/2021,409.87
9/21/2021,363.89
9/22/2021,343.89
9/23/2021,378.3
9/24/2021,384.85
9/25/2021,355.75
9/26/2021,351.32
9/27/2021,344.56
9/28/2021,335.64
9/29/2021,332.21
9/30/2021,368.21
10/1/2021,387.52
10/2/2021,421.47
10/3/2021,429.35
10/4/2021,431.45
10/5/2021,427.55
10/6/2021,443.44
10/7/2021,435.26
10/8/2021,439.93
10/9/2021,418.32
10/10/2021,422.31
10/11/2021,404.33
10/12/2021,412.9
10/13/2021,440.37
10/14/2021,469.57
10/15/2021,471.84
10/16/2021,471.84
10/17/2021,467.81
10/18/2021,470.6
10/19/2021,484.96
10/20/2021,488.58
10/21/2021,503.12
10/22/2021,472.69
10/23/2021,472.69
10/24/2021,484.84
10/25/2021,477.97
10/26/2021,487.15
10/27/2021,478.44
10/28/2021,450.86
10/29/2021,491.71
10/30/2021,529.29
10/31/2021,526.94
11/1/2021,524.7
11/2/2021,551.29
11/3/2021,555.34
11/4/2021,569.42
11/5/2021,569.42
11/6/2021,607.39
11/7/2021,636.05
11/8/2021,650.5
11/9/2021,654.55
