Date,Price
11/10/2020,445.05
11/11/2020,449.82
11/12/2020,463.18
11/13/2020,462.21
11/14/2020,475.97
11/15/2020,462.72
11/16/2020,449.21
11/17/2020,461.37
11/18/2020,482.2
11/19/2020,479.44
11/20/2020,471.32
11/21/2020,508.79
11/22/2020,548.84
11/23/2020,560.51
11/24/2020,608.27
11/25/2020,602.67
11/26/2020,568.28
11/27/2020,518.47
11/28/2020,517.55
11/29/2020,537.39
11/30/2020,574.75
12/1/2020,612.26
12/2/2020,589.58
12/3/2020,598.76
12/4/2020,616.51
12/5/2020,571.19
12/6/2020,595.92
12/7/2020,601.97
12/8/2020,592.39
12/9/2020,554.33
12/10/2020,573.9
12/11/2020,560.45
12/12/2020,545.98
12/13/2020,568.36
12/14/2020,590.32
12/15/2020,585.54
12/16/2020,589.07
12/17/2020,635.96
12/18/2020,644.07
12/19/2020,654.42
12/20/2020,659.32
12/21/2020,639.52
12/22/2020,610.43
12/23/2020,634.98
12/24/2020,587.96
12/25/2020,612.88
12/26/2020,626.46
12/27/2020,636.74
12/28/2020,689.66
12/29/2020,732.96
12/30/2020,735.59
12/31/2020,752.86
1/1/2021,738.62
1/2/2021,730.15
1/3/2021,777.7
1/4/2021,967
1/5/2021,1025.65
1/6/2021,1103.36
1/7/2021,1208.58
1/8/2021,1229.47
1/9/2021,1223.73
1/10/2021,1282.98
1/11/2021,1267.73
1/12/2021,1092.91
1/13/2021,1045.41
1/14/2021,1132.02
1/15/2021,1216.91
1/16/2021,1171.86
1/17/2021,1234.63
1/18/2021,1229.38
1/19/2021,1255.98
1/20/2021,1383.48
1/21/2021,1385.85
1/22/2021,1122.91
1/23/2021,1236.68
1/24/2021,1231.18
1/25/2021,1392.54
1/26/2021,1323.43
1/27/2021,1355.23
1/28/2021,1253.14
1/29/2021,1328.77
1/30/2021,1380.28
1/31/2021,1372.43
2/1/2021,1317.05
2/2/2021,1368.66
2/3/2021,1514.23
2/4/2021,1661
2/5/2021,1587.8
2/6/2021,1724.86
2/7/2021,1683.94
2/8/2021,1608.64
2/9/2021,1751
2/10/2021,1769.05
2/11/2021,1739.16
2/12/2021,1782.51
2/13/2021,1841.2
2/14/2021,1810.84
2/15/2021,1804.98
2/16/2021,1775.76
2/17/2021,1782.58
2/18/2021,1845.57
2/19/2021,1938.57
2/20/2021,1969.98
2/21/2021,1929.37
2/22/2021,1941.43
2/23/2021,1788.62
2/24/2021,1563.92
2/25/2021,1628.39
2/26/2021,1468.86
2/27/2021,1450.99
2/28/2021,1480.13
3/1/2021,1416.66
3/2/2021,1570.4
3/3/2021,1497.09
3/4/2021,1579.43
3/5/2021,1546.5
3/6/2021,1539.05
3/7/2021,1661.93
3/8/2021,1727.46
3/9/2021,1837.53
3/10/2021,1869.33
3/11/2021,1802.31
3/12/2021,1826.06
3/13/2021,1770.94
3/14/2021,1927.72
3/15/2021,1866.07
3/16/2021,1791.05
3/17/2021,1808.55
3/18/2021,1828.75
3/19/2021,1780.16
3/20/2021,1817.13
3/21/2021,1817.86
3/22/2021,1790.38
3/23/2021,1686.89
3/24/2021,1673.86
3/25/2021,1673.86
3/26/2021,1587.3
3/27/2021,1700.37
3/28/2021,1713.84
3/29/2021,1689.04
3/30/2021,1817.63
3/31/2021,1840.29
4/1/2021,1915.83
4/2/2021,1970.47
4/3/2021,2134.1
4/4/2021,2016.67
4/5/2021,2077.76
4/6/2021,2097.8
4/7/2021,2115.06
4/8/2021,1989.15
4/9/2021,2081.35
4/10/2021,2069.67
4/11/2021,2142.8
4/12/2021,2150.27
4/13/2021,2142.48
4/14/2021,2304.34
4/15/2021,2429.66
4/16/2021,2514.17
4/17/2021,2424.55
4/18/2021,2345.27
4/19/2021,2245.76
4/20/2021,2168.03
4/21/2021,2324.28
4/22/2021,2373.5
4/23/2021,2426.07
4/24/2021,2364.23
4/25/2021,2212.84
4/26/2021,2307.36
